URL,Title,Content
https://www.yna.co.kr/view/AKR20231229141700530,[신년사] 이정식 노동장관 &quot;취약계층 어려움 더하는 임금체불 강력 대응&quot;,"      (서울=연합뉴스) 홍준석 기자 = 이정식 고용노동부 장관은 1일 &quot;노사법치를 더 확고하게 다져 현장 노사관계를 발전시키고 상생하는 산업·노동생태계를 조성하겠다&quot;라고 말했다.     이 장관은 이날 발표한 신년사에서 &quot;특히 취약 근로자 생계의 어려움을 가중하는 임금체불만큼은 강력하게 대응하겠다&quot;라며 이같이 밝혔다.     그는 &quot;상습 체불에 대한 경제제재와 감독을 강화해 체불하면서도 사업을 영위할 수 있다는 잘못된 인식 자체를 뿌리 뽑겠다&quot;라고 강조했다.     그러면서 &quot;사회적 물의를 일으키는 직장 내 괴롭힘, 청년의 박탈감을 유발하는 채용 비리는 엄단해 미래세대 주역인 청년이 좌절하지 않도록 하겠다&quot;라고 덧붙였다.     이 장관은 이어 대기업·중소기업, 정규직·비정규직, 원청·하청 등으로 양극화한 노동시장 이중구조를 해소하겠다고 다짐했다.     그는 &quot;원하청 간 복지·안전·훈련 격차는 대표적인 문제&quot;라며 &quot;원하청의 자율적인 상생·협력을 재정지원으로 뒷받침하고 이를 가로막는 불합리한 규제는 발굴·개선하겠다&quot;라고 말했다.     또 이 장관은 부부가 함께 육아하는 &apos;맞돌봄&apos; 문화를 확산시키고 대학생과 교육·훈련을 받지 않는 &apos;니트족&apos; 등에 대한 맞춤형 고용서비스를 늘리겠다고 밝혔다.     그는 &quot;한국이 마주한 저출생·고령화는 국민 우려를 넘어 국가 생존이 달린 문제&quot;라며 &quot;이를 해결하기 위해 정책역량을 총집결하겠다&quot;라고 말했다.     이어 &quot;가장 효과적인 저출생 위기 해법은 청년 일자리 문제 해결에 있다&quot;라며 &quot;역량 있는 중장년이 퇴직 이후에도 계속 일하는 계속 고용을 위한 로드맵도 사회적 대화를 통해 마련하겠다&quot;라고 덧붙였다.     이 장관은 &quot;디지털·저탄소 경제 전환과 글로벌 공급망 재편 등 급변하는 상황에 유연하게 대처하는 것은 생존의 문제&quot;라며 &quot;불안정한 국제정세와 고물가·고금리로 인한 고용 상황을 예의주시해야 한다&quot;라고 당부했다.     honk0216@yna.co.kr "
https://www.yna.co.kr/view/AKR20240101000500060,새해 소망을 담아…전국서 울려퍼진 타종 소리,"&quot;건강하고 행복한 갑진년 되길&quot;…불꽃쇼·노래자랑 등 다채로운 행사      (전국종합=연합뉴스) 2024년 1월 1일 0시, 새해를 맞이하는 타종 소리가 전국 곳곳에서 울려 퍼졌다.      대구 중구 국채보상운동 기념공원 달구벌대종 앞에는 &apos;제야의 타종 행사&apos;에 참여하기 위해 시민들이 오후 8시께부터 속속 모여들었다. 행사 시각이 임박하자 공원 행사장에 입장하기 위한 줄이 수십ｍ 늘어지기도 했다.      시는 &apos;푸른 용의 해&apos;를 맞아 형형색색으로 빛나는 용 뿔 모양 머리띠를 시민들에게 나눠줬다.     연인과 함께 온 이왕욱(30)씨는 &quot;작년에 뒤에서 멀찍이 타종식을 지켜본 게 아쉬워 올해는 일찍 도착해 맨 앞자리에 왔다&quot;며 &quot;올해는 원하던 직장으로도 이직하고 알찬 한해였는데 내년에도 건강하고 발전하는 갑진년이 됐으면 한다&quot;고 웃었다.     부산에서도 &apos;2024 새해맞이 부산 시민의 종 타종 행사&apos;가 열렸다.     용두산공원에서 열린 타종 행사는 새해맞이 카운트다운, 타종식, 신년사, 새해 축포 순으로 진행됐다. 시민들은 새해 카운트다운을 함께 외치며 소망을 빌고, 서로 덕담을 주고받았다.      강원 지역에서는 산간과 동해안을 중심으로 눈·비가 이어지는 중에도 타종행사를 열고 힘찬 새해를 맞이했다.     춘천시는 해넘이 행사에 이어 이날 자정을 기해 시청 앞에서 제야의 종 타종식을 열었다. 지역구 국회의원과 도·시 단위 기관단체장이 춘천 시민상 수상자와 함께 종을 울렸다.       광주 5·18민주광장에는 종각 타종과 다양한 행사를 지켜보며 새해를 맞이하려는 수천 명의 시민들로 북적였다.     여수 향일암 종각에서도 내일 일출까지 연이어 지켜보며 새해를 맞이하려는 시민들로 이른 저녁부터 붐볐다.     인천에서는 인천문화예술회관 야외광장에서 각계각층에서 선정된 시민대표가 참여해 33회 종을 울리는 타종 행사가 열렸다.     충북 청주시 청주 예술의전당 일원에서는 천년대종 타종행사가 열렸고 경기 수원시 화성행궁광장 여민각에서도 새해맞이 타종 행"
https://www.yna.co.kr/view/AKR20240101002900072,"美공화당, 상원 과반 대세론…&quot;변수는 낙태·경제·트럼프 재판&quot;","민주, 방어 대상 23석 중 8석이 경합·열세…공화당, 트럼프 승리 지역서 방어             (뉴욕=연합뉴스) 고일환 특파원 = 미국 공화당이 11개월 앞으로 다가온 선거를 통해 연방 상원 다수당에 복귀할 가능성이 높지만, 여전히 변수가 존재한다는 분석이 나왔다.     월스트리트저널(WSJ)은 31일(현지시간) 현재 전체 100석 중 51석을 차지한 민주당이 과반을 점한 연방 상원 선거 판세를 분석하면서 이같이 보도했다.     이번 선거로 임기가 연장되거나, 교체될 상원 의원은 모두 34명이다.      당적별로는 민주당이나 민주당에 가까운 무소속 의원이 23명, 공화당 의원이 11명이다.     민주당 입장에선 모두 23석을 지켜야 현재 과반 구도를 유지할 수 있지만, 비관적인 전망이 우세하다.     선거분석 전문 매체인 &apos;인사이드 일렉션스&apos;에 따르면 민주당이 방어해야 할 23석 중 8석이 &apos;경합&apos; 또는 &apos;열세&apos; 지역으로 분류됐다.      이에 비해 공화당 현역 상원 의원들이 재선에 나서는 곳은 모두 지난 2020년 대선에서 도널드 트럼프 전 대통령이 승리한 지역이다.      공화당의 과반 복귀가 더 유력하다는 이야기다.     다만 지난 2020년 선거에서도 공화당은 과반 달성이 유력했지만, 민주당에 다수당 위치를 내줬다.     미치 매코널 상원 공화당 원내대표는 당시 예상외의 패배에 대해 &quot;수준이 떨어지는 후보를 내세웠기 때문&quot;이라고 언급했다.     트럼프 전 대통령과의 관계 등을 앞세워 각 지역 당내 경선에서 유력 후보를 여유 있게 제치고 공천받은 후보들이 정작 본선에서는 유권자들에게 외면받았다는 것이다.     이 같은 상황은 2024년 선거에서도 반복될 가능성을 배제할 수 없다는 것이 전문가들의 시각이다.     특히 미국 사회에서 폭발력이 강한 낙태 문제가 중대 변수 중 하나로 꼽힌다.           경합지역으로 분류되는 애리조나와 몬태나, 네바다주(州) 등에선 상원 선거와 함께 낙태를 사실상 금지하는 방향으로 주헌법 개정"
https://www.yna.co.kr/view/AKR20231229135800001,[신년사] 김의장 &quot;총선의 해…국민 손으로 대립과 반목의 시대 끝내달라&quot;,"       (서울=연합뉴스) 한혜원 기자 = 김진표 국회의장은 새해 첫날인 1일 &quot;국민의 손으로 대립과 반목의 시대를 끝내고 국민 통합의 시대를 열어주길 희망한다&quot;고 말했다.      김 의장은 이날 신년사에서 &quot;올해는 4년 만에 국회의원 총선거가 실시된다. 대화와 타협이 작동하는 정치 복원이 급선무&quot;라며 이같이 말했다.      김 의장은 글로벌 기술 패권 경쟁, 불안정한 국제정세, 인구절벽 위기 등을 언급하면서 &quot;2024년, 지금 대한민국은 중대 기로에 놓여 있다&quot;고 지적하고 &quot;정치, 경제, 외교, 안보 모든 분야에서 대한민국이 다시 도약할 것인가, 퇴보할 것인가를 결정짓게 될 절체절명의 시간이 다가오고 있다&quot;고 강조했다.      김 의장은 이어 &quot;나는 2024년을 해현경장(解弦更張)의 굳은 각오로 시작하겠다&quot;고 했다. 해현경장은 &apos;느슨해진 거문고의 줄을 풀어 다시 조여 맨다&apos;는 뜻이다.      그는 &quot;한국 사회에 과감한 변화와 새로운 희망을 만들기 위해 혼신의 노력을 다할 것&quot;이라고 다짐했다.      hye1@yna.co.kr "
https://www.yna.co.kr/view/AKR20231230039500017,[신년사] 오유경 식약처장 &quot;국민안전·산업성장에 힘 되는 규제로&quot;,"       (서울=연합뉴스) 나확진 기자 = 오유경 식품의약품안전처장은 1일 &quot;국민 안전은 견고히 하면서도 산업 성장에는 힘이 되는 똑똑한 규제를 고민해 나가겠다&quot;고 말했다.     오 처장은 이날 신년사에서 &quot;2024년은 식·의약 규제가 사회적 가치를 창출해 가는 힘이 되는 한 해가 될 것&quot;이라며 이같이 강조했다.     그는 &quot;초고령화 사회 진입을 앞두고 개개인의 건강한 일상이 삶의 근원적 가치로 부각되고 있고 식·의약 산업은 인공지능, 푸드테크 등의 눈부신 기술 성장이 구현되는 신성장 영역으로 진화 중인 상황에서 마약사범 급증과 같이 국민 안전을 위협하는 요인들이 상존하는 실정&quot;이라며 &quot;올 한해 우리 앞에 주어진 시대적 과제들이 결코 녹록지만은 않다&quot;고 짚었다.     이어 &quot;위기는 새로운 기회로, 환경변화는 도전의 출발점&quot;으로 만드는 것을 새해 역점으로 내세웠다.     이를 위해 &quot;과학에 기반한 규제와 전문성으로 식·의약 안전에 신뢰를 더하고 국민의 요구에 귀 기울이며 기대가 현실이 되는 현장을 만들며, 협력에 기반한 견고한 안전망 구축과 글로벌 진출의 시너지를 높이겠다&quot;고 말했다.      rao@yna.co.kr "
https://www.yna.co.kr/view/AKR20231231015000001,"이재명, 새해 첫날 DJ·盧 묘역 참배…내일 문 전 대통령 예방","오늘 여의도 중앙당사서 신년 인사회 참석한 뒤 현충원 방문            (서울=연합뉴스) 정수연 기자 = 더불어민주당 이재명 대표는 1일 김대중(DJ)·노무현 전 대통령 묘역을 차례로 찾아 참배한다.     이 대표는 이날 오전 동작동 국립서울현충원을 참배한 뒤 DJ 묘역을 방문한다.     현충원 일정에 앞서 이 대표는 당 지도부와 함께 여의도 중앙당사에서 신년 인사회를 갖고 새해 각오를 다질 예정이다.     이 대표는 오후에는 경남 김해 봉하마을을 방문해 노 전 대통령 묘역을 참배하고, 노 전 대통령의 부인 권양숙 여사를 예방한다.     다음 날인 2일에는 부산 가덕도 신공항 부지를 방문해 부산 현안과 관련한 메시지를 전하고, 경남 양산 평산마을을 찾아 문재인 전 대통령과 오찬을 할 계획이다.      jsy@yna.co.kr "
https://www.yna.co.kr/view/AKR20240101001000072,고금리가 발목잡은 글로벌 M&amp;A 시장…지난해보다 20% 급감,"내년 연준이 기준금리 인상 나설 경우 M&amp;A 시장 활성화 예상                      (뉴욕=연합뉴스) 고일환 특파원 = 고금리와 글로벌 경기침체 우려 탓에 올해 글로벌 기업 인수·합병(M&amp;A) 시장이 10년만에 최저 수준으로 위축됐다.     월스트리트저널(WSJ)은 31일(현지시간) 컨설팅업체 베인앤드컴퍼니를 인용해 2023년 한해 성사된 M&amp;A 규모가 30억 달러(약 3조9천억 원)로 추산된다고 보도했다.     이는 전년보다 20%나 급감한 수치로, 2014년 이후 가장 낮은 수준이다.     연방준비제도(Fed·연준)가 인플레이션을 잡기 위해 기준 금리를 22년 만에 가장 높은 5.25∼5.50%까지 올린 것이 M&amp;A 시장 위축의 가장 큰 원인으로 지목된다.     기준금리 인상의 여파로 자금 조달 비용이 늘어났기 때문이다.     매수 희망자 입장에서는 은행에서 대출받을 때 훨씬 더 큰 비용을 부담해야 하기 때문이다.     또한 올해의 경우 기업의 가치에 대한 매수 희망자와 매도 희망자의 의견차가 유독 확대됐다는 것이 전문가들의 분석이다.     매수 희망자들이 제시한 가격에 대해 기업이 만족하지 못하고 거절하는 경우가 많았다는 것이다.      올해 주식시장이 되살아나면서 각 기업의 시총이 급격하게 늘었지만, 매수 희망자들이 제시한 가격에는 이 같은 증시 상황이 충분히 반영되지 않았기 때문이다.     매수 희망자 입장에서는 경기 침체 가능성까지 염두에 둬야 하기 때문에 무작정 인수가격을 올리는 것도 무리였다는 것이 WSJ의 설명이다.     수잰 쿠마르 베인앤드컴퍼니 부사장은 &quot;기업 가치에 대한 공감대가 형성되지 않는다면 거래가 이뤄지는 것은 불가능하다&quot;고 말했다.     이 같은 분위기 탓에 기업 간 M&amp;A보다는 투자를 목적으로 하는 벤처캐피털이나 사모펀드의 기업 인수가 더 큰 폭으로 감소했다.     올해 기업 간 M&amp;A는 14% 줄었고, 벤처캐피털과 사모펀드의 기업 인수는 각각 39%와 35% 급감했다.     한편 전문가들"
https://www.yna.co.kr/view/AKR20240101001200004,청룡의 해 밝았다…새해 첫둥이 3.15㎏ 남아 우렁찬 울음,0시 0분 강남차병원서 출생…&quot;많은 난임 부부 진심 응원&quot; 인천공항선 첫 여객 맞이 행사…오전 7시 26분 독도부터 첫 해돋이        (서울=연합뉴스) 이미령 기자 = 새해를 알리는 제야의 종소리가 울리는 순간 2024년 대한민국의 첫 번째 아기도 힘찬 첫울음을 터뜨렸다.     서울 강남구 역삼동 강남차여성병원에서는 시계 침이 1일 0시 0분을 가리키자마자 임아연(38)씨가 제왕절개로 3.15㎏의 건강한 아들을 출산했다.     엄마 임씨와 아빠 이주홍(44)씨는 결혼 12년 만에 난임을 극복하고 첫 아이 아홍이(태명)를 품에 안았다.     아홍이 엄마 임씨는 &quot;2012년 6월에 결혼해 시험관 시술로 아홍이를 가지고 건강하게 출산해 더 특별하다&quot;며 &quot;우리나라에 있는 많은 난임 부부들을 진심으로 응원한다&quot;고 소감을 밝혔다.     아빠 이씨는 &quot;아홍이로 인해 세상이 조금 더 따뜻해졌으면 좋겠다&quot;며 &quot;난임으로 고생하는 부부를 위한 국가적 관심과 정책적 지원도 더 많이 이뤄지길 바란다&quot;고 전했다.     강남차여성병원 차동현 원장은 &quot;첫아기의 탄생과 함께 출산의 기쁨과 생명의 소중함을 나누는 시간이 되기를 바란다&quot;고 말했다.            새해 처음으로 인천공항 활주로를 밟은 여객기는 베트남 푸꾸옥에서 출발한 비엣젯항공 VJ978편이다. 이 여객기는 오전 0시 4분 인천공항에 착륙했다.     화물기 중에는 홍콩에서 떠나온 아시아나항공 OZ968편이 오전 0시 17분 인천공항 활주로에 가장 먼저 안착했다.     올해 처음으로 인천공항을 떠난 여객기는 터키항공의 TK091편이었다. 이 항공기는 0시 5분 한국에서 튀르키예 이스탄불로 날아올랐다.     인천국제공항공사는 이날 오전 1시 중국 베이징에서 인천공항으로 들어오는 대한항공 여객기 KE854편 승객과 함께 첫 여객 맞이 행사를 했다. 이 여객기를 타고 처음 국내에 들어오는 승객에게 5성급 호텔 숙박권과 공사의 기념패 등을 줬다.        새해 첫 해돋이는 국토 최동단 독도에서 오전 7시 26
https://www.yna.co.kr/view/MYH20231229011400704,"[영상] 올해, 지구인 절반 이상이 선거한다…주목해야 할 나라들",
https://www.yna.co.kr/view/AKR20240101002100075,"&quot;X 기업가치, 머스크가 인수했을 때보다 72% 낮아져&quot;","악시오스, 피델리티 인용해 보도…지난달 욕설 파문 등 영향 추정       (로스앤젤레스=연합뉴스) 임미나 특파원 = 소셜미디어 X(옛 트위터)의 기업 가치가 일론 머스크 테슬라 최고경영자(CEO)에게 인수된 뒤 1년여 만에 큰 폭으로 쪼그라들었다는 분석이 나왔다.     미국 온라인매체 악시오스는 31일(현지시간) 금융투자회사 피델리티의 분석을 인용해 비상장 기업인 X의 기업 가치가 머스크에게 인수됐을 당시와 비교해 71.5% 낮은 수준으로 평가됐다고 전했다.     머스크는 2022년 10월 트위터를 440억달러(약 57조원)에 인수한 뒤 비공개 기업으로 전환하고 이름을 X로 바꿨다.      피델리티는 X의 기업 가치가 지난 11월 한 달 동안에만 10.7% 깎인 것으로 분석했다.      악시오스는 머스크가 지난 11월 29일 미 일간 뉴욕타임스(NYT)의 공개 대담에 나와 X에 광고를 중단한 기업 경영자들을 향해 거친 욕설을 내뱉은 사건이 기업 가치 하락에 영향을 준 것으로 추정했다.     머스크는 당시 X를 둘러싼 반(反)유대주의 논란 이후 월트디즈니, 애플 등 대기업들이 X에 광고를 끊자 자신을 돈으로 협박한다며 분노를 표시했다.      악시오스는 비슷한 소셜미디어 플랫폼 회사인 메타의 주가가 11월 한 달간 4.9% 상승한 흐름과 대비된다고 짚었다.     다만 악시오스는 피델리티가 X의 재무 성과에 관한 내부 정보를 많이 갖고 있지는 않다는 점을 지적하며 X의 기업 가치가 다르게 평가될 수도 있다고 덧붙였다.     mina@yna.co.kr "
